"study","treatment","therm1","therm2","therm3","therm4"
1,"Same-Sex Marriage Script by Gay Canvasser",85,85,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,96,NA,NA
1,"No Contact",43,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",62,72,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",52,48,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",91,91,NA,NA
1,"Recycling Script by Gay Canvasser",40,40,NA,NA
1,"Recycling Script by Gay Canvasser",52,52,NA,NA
1,"Recycling Script by Gay Canvasser",3,3,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",50,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,51,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",90,90,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,52,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",86,86,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",26,26,NA,NA
1,"Recycling Script by Gay Canvasser",3,3,NA,NA
1,"Recycling Script by Gay Canvasser",70,70,NA,NA
1,"No Contact",56,56,NA,NA
1,"No Contact",20,20,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",70,70,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",69,68,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",3,11,NA,NA
1,"No Contact",1,1,NA,NA
1,"No Contact",50,56,NA,NA
1,"No Contact",3,3,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",1,1,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",85,85,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",17,17,NA,NA
1,"No Contact",88,88,NA,NA
1,"No Contact",15,15,NA,NA
1,"No Contact",100,97,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",0,0,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",11,12,NA,NA
1,"No Contact",41,41,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",91,91,NA,NA
1,"No Contact",87,87,NA,NA
1,"No Contact",50,50,NA,NA
1,"No Contact",10,NA,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",60,60,NA,NA
1,"No Contact",78,78,NA,NA
1,"No Contact",52,52,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",7,7,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",84,84,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",94,94,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",96,96,NA,NA
1,"No Contact",6,6,NA,NA
1,"No Contact",91,91,NA,NA
1,"Recycling Script by Gay Canvasser",74,74,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",42,41,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,46,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",39,39,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",29,29,NA,NA
1,"Recycling Script by Straight Canvasser",51,51,NA,NA
1,"Recycling Script by Straight Canvasser",50,49,NA,NA
1,"No Contact",42,42,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",60,NA,NA,NA
1,"No Contact",44,44,NA,NA
1,"Recycling Script by Straight Canvasser",71,71,NA,NA
1,"No Contact",100,97,NA,NA
1,"No Contact",50,51,NA,NA
1,"Recycling Script by Gay Canvasser",100,86,NA,NA
1,"Recycling Script by Gay Canvasser",50,50,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",1,1,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"No Contact",97,97,NA,NA
1,"Recycling Script by Straight Canvasser",87,87,NA,NA
1,"Recycling Script by Straight Canvasser",91,91,NA,NA
1,"Recycling Script by Straight Canvasser",100,98,NA,NA
1,"Recycling Script by Straight Canvasser",50,39,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",6,6,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",90,NA,NA,NA
1,"No Contact",4,4,NA,NA
1,"No Contact",38,38,NA,NA
1,"No Contact",100,NA,NA,NA
1,"No Contact",51,NA,NA,NA
1,"No Contact",15,NA,NA,NA
1,"No Contact",91,91,NA,NA
1,"No Contact",53,53,NA,NA
1,"Recycling Script by Straight Canvasser",86,86,NA,NA
1,"No Contact",100,98,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",100,94,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",59,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",51,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",71,NA,NA,NA
1,"No Contact",67,67,NA,NA
1,"Recycling Script by Straight Canvasser",100,94,NA,NA
1,"Recycling Script by Straight Canvasser",47,47,NA,NA
1,"Recycling Script by Straight Canvasser",80,80,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,50,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",72,79,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",40,40,NA,NA
1,"No Contact",83,NA,NA,NA
1,"No Contact",100,98,NA,NA
1,"No Contact",50,NA,NA,NA
1,"Recycling Script by Straight Canvasser",37,35,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",84,84,NA,NA
1,"Recycling Script by Straight Canvasser",50,54,NA,NA
1,"Recycling Script by Straight Canvasser",75,NA,NA,NA
1,"No Contact",86,86,NA,NA
1,"No Contact",2,2,NA,NA
1,"No Contact",92,92,NA,NA
1,"No Contact",50,57,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",85,98,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",86,NA,NA,NA
1,"Recycling Script by Straight Canvasser",50,54,NA,NA
1,"Recycling Script by Gay Canvasser",50,48,NA,NA
1,"No Contact",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",71,71,NA,NA
1,"No Contact",71,71,NA,NA
1,"No Contact",50,52,NA,NA
1,"Recycling Script by Gay Canvasser",95,95,NA,NA
1,"No Contact",80,80,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",89,89,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",71,71,NA,NA
1,"Recycling Script by Straight Canvasser",11,11,NA,NA
1,"Recycling Script by Straight Canvasser",60,60,NA,NA
1,"No Contact",50,50,NA,NA
1,"No Contact",80,80,NA,NA
1,"Recycling Script by Gay Canvasser",50,46,NA,NA
1,"Recycling Script by Straight Canvasser",73,73,NA,NA
1,"Recycling Script by Straight Canvasser",50,49,NA,NA
1,"No Contact",32,NA,NA,NA
1,"No Contact",36,NA,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",89,89,NA,NA
1,"Recycling Script by Gay Canvasser",100,96,NA,NA
1,"Recycling Script by Gay Canvasser",50,NA,NA,NA
1,"No Contact",77,NA,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",39,39,NA,NA
1,"No Contact",64,64,NA,NA
1,"No Contact",31,31,NA,NA
1,"No Contact",5,5,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",60,60,NA,NA
1,"No Contact",76,NA,NA,NA
1,"No Contact",72,72,NA,NA
1,"No Contact",91,91,NA,NA
1,"No Contact",71,71,NA,NA
1,"No Contact",50,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,62,NA,NA
1,"No Contact",100,100,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",84,84,NA,NA
1,"Recycling Script by Gay Canvasser",90,90,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",36,NA,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",56,56,NA,NA
1,"No Contact",26,26,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",50,44,NA,NA
1,"No Contact",85,85,NA,NA
1,"No Contact",50,44,NA,NA
1,"No Contact",100,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",39,39,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,46,NA,NA
1,"No Contact",7,7,NA,NA
1,"No Contact",6,6,NA,NA
1,"No Contact",54,54,NA,NA
1,"No Contact",35,35,NA,NA
1,"No Contact",50,53,NA,NA
1,"No Contact",100,92,NA,NA
1,"No Contact",100,NA,NA,NA
1,"No Contact",31,31,NA,NA
1,"No Contact",4,4,NA,NA
1,"No Contact",5,5,NA,NA
1,"No Contact",54,54,NA,NA
1,"No Contact",60,60,NA,NA
1,"Recycling Script by Gay Canvasser",72,72,NA,NA
1,"Recycling Script by Gay Canvasser",100,100,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",50,46,NA,NA
1,"No Contact",5,5,NA,NA
1,"No Contact",86,86,NA,NA
1,"No Contact",91,NA,NA,NA
1,"No Contact",51,NA,NA,NA
1,"No Contact",50,47,NA,NA
1,"Recycling Script by Straight Canvasser",50,NA,NA,NA
1,"Recycling Script by Straight Canvasser",27,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,50,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,44,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"No Contact",77,77,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",2,6,NA,NA
1,"Recycling Script by Gay Canvasser",22,NA,NA,NA
1,"No Contact",11,11,NA,NA
1,"No Contact",29,NA,NA,NA
1,"No Contact",50,50,NA,NA
1,"No Contact",40,40,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,99,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",60,NA,NA,NA
1,"No Contact",1,1,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,58,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,49,NA,NA
1,"No Contact",87,87,NA,NA
1,"No Contact",61,61,NA,NA
1,"No Contact",40,40,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",70,70,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",100,96,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",51,77,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",97,95,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",3,7,NA,NA
1,"No Contact",2,2,NA,NA
1,"No Contact",100,100,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",56,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,94,NA,NA
1,"No Contact",11,11,NA,NA
1,"No Contact",27,NA,NA,NA
1,"Recycling Script by Straight Canvasser",91,91,NA,NA
1,"Recycling Script by Straight Canvasser",50,55,NA,NA
1,"No Contact",60,60,NA,NA
1,"Recycling Script by Gay Canvasser",53,53,NA,NA
1,"Recycling Script by Straight Canvasser",90,90,NA,NA
1,"No Contact",100,94,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",3,21,30,36
2,"Same-Sex Marriage Script by Gay Canvasser",60,49,53,NA
2,"Same-Sex Marriage Script by Gay Canvasser",22,27,22,23
2,"Same-Sex Marriage Script by Gay Canvasser",44,47,55,46
2,"Same-Sex Marriage Script by Gay Canvasser",52,63,54,49
1,"Recycling Script by Gay Canvasser",85,85,NA,NA
1,"Recycling Script by Straight Canvasser",51,53,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,51,NA,NA
2,"No Contact",60,51,64,70
1,"No Contact",50,43,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",52,52,65,53
2,"Same-Sex Marriage Script by Gay Canvasser",90,92,90,96
1,"Recycling Script by Straight Canvasser",22,22,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",60,62,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,71,69,71
1,"Recycling Script by Gay Canvasser",51,53,NA,NA
1,"Recycling Script by Gay Canvasser",100,96,NA,NA
1,"Recycling Script by Gay Canvasser",58,58,NA,NA
1,"Recycling Script by Gay Canvasser",25,25,NA,NA
1,"No Contact",60,60,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",70,70,NA,NA
1,"Recycling Script by Gay Canvasser",50,48,NA,NA
1,"Recycling Script by Gay Canvasser",96,96,NA,NA
1,"Recycling Script by Gay Canvasser",72,72,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",100,98,NA,NA
1,"No Contact",62,62,NA,NA
1,"Recycling Script by Straight Canvasser",77,77,NA,NA
1,"No Contact",87,87,NA,NA
2,"No Contact",70,66,75,53
1,"Same-Sex Marriage Script by Straight Canvasser",53,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,100,98
2,"Same-Sex Marriage Script by Gay Canvasser",73,70,77,69
2,"Same-Sex Marriage Script by Gay Canvasser",12,4,NA,11
1,"Same-Sex Marriage Script by Gay Canvasser",50,45,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",42,42,NA,NA
1,"No Contact",13,13,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",99,95,100,100
1,"Recycling Script by Gay Canvasser",50,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",5,6,NA,NA
1,"No Contact",85,85,NA,NA
1,"No Contact",75,75,NA,NA
1,"Recycling Script by Straight Canvasser",51,51,NA,NA
1,"Recycling Script by Straight Canvasser",100,98,NA,NA
1,"Recycling Script by Straight Canvasser",50,NA,NA,NA
1,"No Contact",81,81,NA,NA
2,"No Contact",50,48,NA,55
1,"No Contact",50,53,NA,NA
1,"Recycling Script by Straight Canvasser",50,45,NA,NA
1,"No Contact",42,42,NA,NA
1,"No Contact",50,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,54,NA,NA
1,"Recycling Script by Straight Canvasser",71,71,NA,NA
1,"Recycling Script by Gay Canvasser",100,100,NA,NA
1,"No Contact",99,99,NA,NA
1,"No Contact",70,70,NA,NA
1,"Recycling Script by Straight Canvasser",50,59,NA,NA
1,"No Contact",67,67,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",85,88,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"No Contact",48,48,NA,NA
1,"No Contact",62,62,NA,NA
1,"No Contact",76,76,NA,NA
2,"No Contact",97,NA,NA,100
1,"No Contact",41,41,NA,NA
1,"Recycling Script by Gay Canvasser",75,75,NA,NA
1,"Recycling Script by Straight Canvasser",77,77,NA,NA
1,"Recycling Script by Straight Canvasser",49,49,NA,NA
1,"No Contact",98,98,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",3,3,NA,NA
1,"No Contact",56,56,NA,NA
1,"No Contact",51,51,NA,NA
1,"Recycling Script by Gay Canvasser",91,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",21,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",45,46,NA,NA
1,"No Contact",87,87,NA,NA
1,"No Contact",31,31,NA,NA
1,"No Contact",84,84,NA,NA
1,"Recycling Script by Straight Canvasser",4,4,NA,NA
1,"No Contact",4,4,NA,NA
1,"Recycling Script by Gay Canvasser",17,17,NA,NA
1,"No Contact",53,53,NA,NA
1,"No Contact",100,NA,NA,NA
1,"No Contact",31,31,NA,NA
1,"No Contact",100,99,NA,NA
1,"No Contact",63,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",97,97,NA,NA
1,"Recycling Script by Gay Canvasser",48,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",86,NA,77,91
2,"Same-Sex Marriage Script by Gay Canvasser",60,63,50,45
1,"No Contact",90,90,NA,NA
1,"No Contact",62,62,NA,NA
1,"No Contact",53,53,NA,NA
1,"No Contact",50,49,NA,NA
2,"No Contact",61,59,65,57
2,"Same-Sex Marriage Script by Gay Canvasser",53,NA,69,62
1,"No Contact",29,29,NA,NA
1,"No Contact",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"No Contact",50,48,NA,NA
1,"No Contact",27,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",31,NA,NA,NA
1,"No Contact",80,80,NA,NA
1,"No Contact",51,51,NA,NA
1,"Recycling Script by Straight Canvasser",40,40,NA,NA
2,"No Contact",16,10,17,NA
2,"No Contact",72,65,80,73
1,"Recycling Script by Gay Canvasser",85,85,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",84,74,NA,97
1,"No Contact",28,NA,NA,NA
2,"No Contact",4,7,0,9
1,"Recycling Script by Straight Canvasser",80,80,NA,NA
1,"No Contact",63,63,NA,NA
1,"No Contact",50,53,NA,NA
2,"No Contact",50,53,50,50
1,"No Contact",60,60,NA,NA
2,"No Contact",70,NA,70,77
1,"Same-Sex Marriage Script by Straight Canvasser",77,81,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
2,"No Contact",17,20,30,27
1,"No Contact",51,51,NA,NA
1,"Recycling Script by Straight Canvasser",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",77,77,NA,NA
2,"No Contact",50,49,NA,38
1,"No Contact",50,49,NA,NA
1,"No Contact",70,70,NA,NA
2,"No Contact",50,52,41,NA
2,"No Contact",68,NA,68,62
2,"Same-Sex Marriage Script by Gay Canvasser",50,54,51,NA
2,"Same-Sex Marriage Script by Gay Canvasser",41,44,37,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,99,99,100
2,"No Contact",59,51,44,50
2,"Same-Sex Marriage Script by Gay Canvasser",91,100,NA,100
2,"Same-Sex Marriage Script by Gay Canvasser",3,0,14,0
2,"No Contact",51,NA,30,49
2,"No Contact",53,53,49,NA
2,"No Contact",100,95,100,98
2,"No Contact",52,47,49,54
1,"No Contact",90,90,NA,NA
1,"No Contact",50,50,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",48,46,48,NA
2,"Same-Sex Marriage Script by Gay Canvasser",80,84,69,72
2,"Same-Sex Marriage Script by Gay Canvasser",75,NA,83,78
2,"Same-Sex Marriage Script by Gay Canvasser",50,53,51,49
2,"Same-Sex Marriage Script by Gay Canvasser",50,46,45,61
2,"Same-Sex Marriage Script by Gay Canvasser",70,63,58,68
2,"No Contact",30,40,31,29
2,"No Contact",2,0,0,1
1,"Recycling Script by Gay Canvasser",50,59,NA,NA
1,"Recycling Script by Gay Canvasser",48,48,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,100,100
2,"No Contact",75,74,60,NA
2,"No Contact",50,52,51,46
2,"Same-Sex Marriage Script by Gay Canvasser",3,36,17,8
2,"Same-Sex Marriage Script by Gay Canvasser",85,100,100,99
2,"Same-Sex Marriage Script by Gay Canvasser",51,80,72,68
2,"No Contact",50,48,44,53
2,"No Contact",83,72,84,88
2,"No Contact",50,54,56,46
2,"No Contact",96,79,99,98
2,"No Contact",50,50,48,49
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,100,93
2,"No Contact",50,45,NA,NA
2,"No Contact",50,45,45,50
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,92,96
2,"Same-Sex Marriage Script by Gay Canvasser",100,97,96,98
2,"Same-Sex Marriage Script by Gay Canvasser",87,90,67,73
2,"Same-Sex Marriage Script by Gay Canvasser",50,54,49,43
1,"No Contact",50,47,NA,NA
1,"Recycling Script by Straight Canvasser",75,75,NA,NA
1,"Recycling Script by Straight Canvasser",91,91,NA,NA
1,"Recycling Script by Straight Canvasser",50,49,NA,NA
1,"No Contact",50,40,NA,NA
1,"No Contact",50,48,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",3,3,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",81,76,76,89
2,"No Contact",16,13,12,27
2,"No Contact",50,NA,49,50
1,"No Contact",31,31,NA,NA
1,"No Contact",50,39,NA,NA
2,"No Contact",78,92,72,85
2,"No Contact",94,100,79,92
2,"Same-Sex Marriage Script by Gay Canvasser",70,72,80,80
2,"Same-Sex Marriage Script by Gay Canvasser",62,69,51,59
1,"Same-Sex Marriage Script by Gay Canvasser",5,5,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,50,NA,NA
1,"No Contact",97,97,NA,NA
1,"No Contact",50,40,NA,NA
1,"No Contact",60,60,NA,NA
1,"No Contact",56,NA,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",76,76,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",65,69,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,48,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",59,59,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",58,64,69,58
1,"Recycling Script by Gay Canvasser",53,53,NA,NA
1,"Recycling Script by Gay Canvasser",51,51,NA,NA
1,"Recycling Script by Gay Canvasser",50,NA,NA,NA
1,"No Contact",88,88,NA,NA
1,"No Contact",91,91,NA,NA
1,"No Contact",50,49,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",68,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",52,52,NA,NA
1,"Recycling Script by Straight Canvasser",53,53,NA,NA
1,"Recycling Script by Straight Canvasser",21,21,NA,NA
1,"Recycling Script by Straight Canvasser",88,88,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",8,8,NA,NA
1,"No Contact",2,2,NA,NA
1,"No Contact",100,100,NA,NA
1,"Recycling Script by Straight Canvasser",86,86,NA,NA
1,"Recycling Script by Straight Canvasser",60,58,NA,NA
1,"No Contact",7,NA,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",69,69,NA,NA
1,"No Contact",1,1,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",52,NA,NA,NA
1,"Recycling Script by Gay Canvasser",63,NA,NA,NA
1,"Recycling Script by Gay Canvasser",23,23,NA,NA
1,"Recycling Script by Gay Canvasser",22,22,NA,NA
1,"Recycling Script by Straight Canvasser",50,51,NA,NA
1,"Recycling Script by Straight Canvasser",70,70,NA,NA
1,"No Contact",50,50,NA,NA
1,"Recycling Script by Straight Canvasser",99,99,NA,NA
1,"No Contact",50,48,NA,NA
1,"No Contact",50,53,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",71,71,NA,NA
1,"No Contact",22,22,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",45,45,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",91,91,NA,NA
1,"Recycling Script by Gay Canvasser",65,65,NA,NA
1,"Recycling Script by Gay Canvasser",9,9,NA,NA
1,"Recycling Script by Gay Canvasser",84,NA,NA,NA
1,"No Contact",9,9,NA,NA
1,"No Contact",50,54,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",43,43,NA,NA
1,"No Contact",53,NA,NA,NA
1,"No Contact",50,46,NA,NA
1,"No Contact",100,99,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",66,66,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",53,NA,NA,NA
1,"Recycling Script by Gay Canvasser",50,42,NA,NA
1,"Recycling Script by Gay Canvasser",99,97,NA,NA
1,"Recycling Script by Gay Canvasser",96,96,NA,NA
1,"No Contact",10,10,NA,NA
1,"No Contact",50,50,NA,NA
1,"No Contact",54,54,NA,NA
1,"No Contact",52,NA,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",67,67,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"No Contact",41,NA,NA,NA
1,"No Contact",3,3,NA,NA
1,"No Contact",50,52,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",68,68,NA,NA
1,"No Contact",51,51,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,58,54,62
1,"No Contact",10,10,NA,NA
1,"No Contact",55,55,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",70,70,NA,NA
1,"Recycling Script by Gay Canvasser",22,22,NA,NA
1,"Recycling Script by Gay Canvasser",50,63,NA,NA
2,"No Contact",100,99,99,100
2,"No Contact",100,98,NA,98
1,"Recycling Script by Gay Canvasser",10,10,NA,NA
1,"No Contact",50,46,NA,NA
1,"No Contact",96,96,NA,NA
1,"No Contact",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,48,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",30,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,52,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",51,51,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,55,NA,NA
1,"No Contact",87,87,NA,NA
1,"No Contact",100,97,NA,NA
1,"Recycling Script by Gay Canvasser",41,45,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",50,58,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",64,64,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",98,98,NA,NA
1,"No Contact",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,47,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",51,51,NA,NA
1,"No Contact",29,NA,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",83,83,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",100,98,NA,NA
1,"Recycling Script by Gay Canvasser",31,NA,NA,NA
1,"Recycling Script by Gay Canvasser",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",97,NA,NA,NA
1,"No Contact",57,57,NA,NA
2,"No Contact",50,44,54,50
2,"No Contact",50,46,47,42
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,100,96
1,"No Contact",100,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,NA,62,41
1,"Recycling Script by Straight Canvasser",100,96,NA,NA
1,"Recycling Script by Straight Canvasser",30,30,NA,NA
1,"Recycling Script by Straight Canvasser",100,100,NA,NA
1,"No Contact",66,66,NA,NA
1,"Recycling Script by Straight Canvasser",54,60,NA,NA
1,"No Contact",72,NA,NA,NA
1,"No Contact",40,NA,NA,NA
